Pos,StartNr,Naam,Race,Cat,Loop1,#L1,Wis1,Fiets,#Fie,NaFiets,#NaF,Wis2,Loop2,#L2,Totaal,DQ
525,1070,Nicolette de Jong,1,D40+,0:12:30,529,0:02:35,0:47:29,581,1:02:32,581,0:02:03,0:26:36,457,1:31:10,
526,3104,Casper Mintjes,3,H40+,0:13:56,634,0:02:40,0:44:23,468,1:00:58,544,0:02:24,0:27:51,512,1:31:12,
527,4025,Walter Sanda,4,H24+,0:11:20,382,0:02:10,0:46:04,534,0:59:34,507,0:02:45,0:29:01,555,1:31:19,
528,5087,Marijn Ham,4,H16+,0:13:33,609,0:03:57,0:44:44,479,1:02:14,572,0:02:31,0:26:34,455,1:31:19,
529,5118,Jiska Stegeman,4,D16+,0:13:34,610,0:04:05,0:44:40,476,1:02:18,575,0:02:29,0:26:33,452,1:31:19,
530,5011,Maartje   Vermeulen,4,D24+,0:12:14,494,0:01:54,0:48:15,600,1:02:22,577,0:01:43,0:27:16,485,1:31:20,
531,7029,Nathalia Kaarls,7,D40+,0:12:02,474,0:01:58,0:49:05,618,1:03:04,591,0:01:21,0:27:00,474,1:31:24,
532,5038,Wiebe De Ridder,4,H40+,0:13:05,582,0:02:06,0:42:13,362,0:57:23,437,0:02:23,0:31:42,630,1:31:27,
533,7031,Maurits Leentvaar,7,H24+,0:12:44,559,0:01:49,0:44:54,485,0:59:27,503,0:01:50,0:30:14,597,1:31:29,
534,4139,Robin van Zeijl,4,D24+,0:12:31,532,0:02:18,0:45:14,505,1:00:02,524,0:02:00,0:29:29,573,1:31:30,
535,2096,Mandy van Noortwijk,2,D40+,0:13:21,595,0:02:15,0:46:40,563,1:02:15,573,0:02:32,0:27:03,475,1:31:49,
536,1062,Arjen Hoogerwerf,1,H40+,0:13:27,600,0:02:06,0:44:16,464,0:59:48,519,0:01:43,0:30:22,601,1:31:52,
537,2043,Frits Bezemer,2,H24+,0:12:20,506,0:01:32,0:47:07,575,1:00:58,545,0:01:19,0:29:36,576,1:31:52,
538,2047,Frank Daams,2,H24+,0:12:27,523,0:03:38,0:46:30,553,1:02:33,583,0:03:24,0:25:55,415,1:31:52,
539,5071,Wout Boer,4,H24+,0:13:13,590,0:02:37,0:45:02,493,1:00:52,543,0:02:06,0:28:55,551,1:31:52,
540,6110,Bert de Roo,6,H40+,0:12:01,470,0:02:33,0:45:12,500,0:59:44,515,0:03:13,0:29:11,561,1:32:07,
541,6129,Anneke van der Wal,6,D40+,0:13:49,622,0:02:05,0:43:47,438,0:59:40,511,0:02:01,0:30:29,602,1:32:09,
542,5030,Edward Kooijman,4,H24+,0:12:20,504,0:02:27,0:47:30,582,1:02:16,574,0:02:08,0:27:49,510,1:32:11,
543,4070,Veerle van Doeveren,4,D24+,0:12:54,567,0:02:53,0:48:11,599,1:03:57,599,0:02:40,0:26:06,423,1:32:41,
544,1046,Joke Carlier,1,D40+,0:12:26,522,0:02:28,0:49:16,625,1:04:10,602,0:01:53,0:26:43,465,1:32:45,
545,1049,Evelien Deurloo,1,D24+,0:12:31,531,0:01:47,0:45:56,530,1:00:12,528,0:01:38,0:30:57,615,1:32:46,
546,3112,Glenn Reek,3,H24+,0:11:48,443,0:01:34,0:52:27,661,1:05:48,631,0:01:32,0:25:28,394,1:32:48,
547,5034,Else Faber,4,D40+,0:11:56,458,0:04:19,0:46:53,570,1:03:07,592,0:03:42,0:26:18,434,1:33:06,
548,1077,Lex Koopman,1,H24+,0:11:03,335,0:02:36,0:51:28,655,1:05:07,620,0:01:52,0:26:20,435,1:33:18,
549,2029,Linda Bel,2,D24+,0:12:39,546,0:02:02,0:47:20,579,1:02:00,564,0:01:48,0:29:32,574,1:33:19,
550,1061,Danielle den Hertog,1,D24+,0:13:03,578,0:02:31,0:45:53,527,1:01:27,551,0:01:56,0:29:58,587,1:33:20,
551,1075,Natasja Kluit,1,D40+,0:12:23,512,0:03:09,0:46:20,550,1:01:51,559,0:03:05,0:28:26,534,1:33:21,
552,1125,Martin Van DerBok,1,H40+,0:12:23,511,0:03:10,0:46:09,540,1:01:41,554,0:03:15,0:28:26,535,1:33:21,
553,7112,Jasper van Randeraat,7,H24+,0:10:44,290,0:01:49,0:49:47,634,1:02:19,576,0:01:41,0:29:23,567,1:33:22,
554,4106,Kenneth Nieuweboer,4,H40+,0:12:38,543,0:01:41,0:47:42,586,1:02:00,563,0:01:44,0:29:48,583,1:33:31,
555,2094,Sandra Middel,2,D40+,0:12:40,549,0:02:15,0:49:28,630,1:04:22,607,0:01:57,0:27:18,488,1:33:37,
556,3042,Hiro Asakura,3,H40+,0:13:18,593,0:02:18,0:46:16,547,1:01:51,560,0:02:31,0:29:20,566,1:33:40,
557,6086,Jeroen Hameete,6,H24+,0:10:29,255,0:02:33,0:49:08,620,1:02:09,568,0:03:13,0:28:23,530,1:33:44,
558,4071,Ruud van Dongen,4,H40+,0:13:26,598,0:02:57,0:43:34,427,0:59:57,522,0:02:46,0:31:03,617,1:33:45,
559,4124,John Snap,4,H24+,0:12:28,526,0:02:40,0:46:36,561,1:01:44,555,0:02:10,0:29:56,585,1:33:49,
560,2133,Diana Verboom,2,D24+,0:12:19,502,0:01:50,0:50:41,647,1:04:50,615,0:01:25,0:27:37,502,1:33:50,
561,6061,Corne den Besten,6,H24+,0:14:18,650,0:03:19,0:43:29,421,1:01:06,546,0:02:44,0:30:18,600,1:34:07,
562,7055,Richard  van  Ewijk ,7,H40+,0:12:10,485,0:01:48,0:44:48,481,0:58:45,483,0:01:55,0:33:34,662,1:34:12,
563,7080, Bianca  Smid,7,D40+,0:12:01,468,0:02:19,0:49:01,616,1:03:21,593,0:02:46,0:28:08,524,1:34:14,
564,5069,Natascha Beumer,4,D24+,0:14:18,649,0:02:16,0:45:57,532,1:02:30,580,0:02:37,0:29:16,563,1:34:23,
565,6025,Krishnan Gonesh,6,H40+,0:12:21,509,0:02:45,0:45:13,502,1:00:19,531,0:02:31,0:31:36,627,1:34:25,
566,2068,Irene Hoevenaars,2,D24+,0:12:58,570,0:03:00,0:49:22,628,1:05:18,623,0:01:53,0:27:17,487,1:34:27,
567,5119,Threa Teeuw,4,D40+,0:12:20,505,0:02:10,0:47:41,585,1:02:10,570,0:02:06,0:30:18,599,1:34:33,
568,2083,Pascale Lavooij,2,D40+,0:13:10,588,0:02:06,0:48:23,604,1:03:39,597,0:01:56,0:29:05,557,1:34:39,
569,2023,Gert Jan van Buuren,2,H40+,0:12:18,499,0:01:24,0:50:19,641,1:03:59,601,0:01:30,0:29:11,560,1:34:39,
570,1121,Henk Tjauw,1,H24+,0:12:44,558,0:02:17,0:49:12,624,1:04:12,603,0:01:51,0:28:39,540,1:34:41,
571,3029,Caroline Hundepool,3,D24+,0:13:27,599,0:01:42,0:47:34,583,1:02:42,586,0:01:24,0:30:43,612,1:34:49,
572,4113,Charissa de Regt,4,D24+,0:11:56,457,0:02:03,0:50:16,640,1:04:14,605,0:01:32,0:29:11,562,1:34:56,
573,6074,L. van Donge,6,D24+,0:12:45,560,0:02:05,0:46:51,567,1:01:40,553,0:01:51,0:31:30,626,1:35:01,
574,6123,Evert Verveer,6,H24+,0:12:28,527,0:01:29,0:45:16,507,0:59:13,491,0:01:52,0:34:00,669,1:35:04,
575,2002,Eppie Fokkema,2,H40+,0:13:24,597,0:02:57,0:44:58,489,1:01:18,550,0:01:36,0:32:18,642,1:35:11,
576,2079,Liesbeth Koorn,2,D40+,0:13:54,626,0:02:15,0:46:35,560,1:02:42,585,0:02:27,0:30:09,592,1:35:18,
577,2032,Erik Plugge,2,H40+,0:13:53,625,0:02:14,0:46:19,549,1:02:25,578,0:02:43,0:30:12,595,1:35:18,
578,3089,Sandra Hogeveen,3,D40+,0:13:30,605,0:02:17,0:47:46,589,1:03:33,596,0:02:14,0:29:42,580,1:35:28,
579,2067,Stephanie van der Hoeven,2,D40+,0:12:27,525,0:01:29,0:50:53,649,1:04:49,614,0:01:59,0:28:53,550,1:35:40,
580,1086,Paul Malatestas,1,H24+,0:11:43,437,0:02:03,0:49:10,621,1:02:55,588,0:02:04,0:30:42,610,1:35:40,
581,7024,Sarah van Duijn,7,D24+,0:13:18,592,0:02:10,0:45:23,512,1:00:50,542,0:02:06,0:32:58,652,1:35:53,
582,6117,Jolanda van der Straaten,6,D40+,0:14:00,640,0:02:50,0:45:23,511,1:02:12,571,0:03:14,0:30:29,603,1:35:54,
583,2087,Martijn de Loor,2,H40+,0:12:57,569,0:02:48,0:45:54,529,1:01:38,552,0:03:39,0:30:46,613,1:36:02,
584,7113,Anneke Kloostra,7,D40+,0:14:51,671,0:01:51,0:48:36,608,1:05:17,622,0:01:25,0:29:28,572,1:36:10,
585,4131,Wilco Visser,4,H40+,0:13:12,589,0:02:51,0:46:34,559,1:02:36,584,0:03:07,0:30:37,606,1:36:20,
586,3051,Myrna vd Emster,3,D40+,0:12:05,477,0:02:04,0:48:24,605,1:02:32,582,0:02:07,0:31:44,631,1:36:23,
587,3107,Cerise Oste,3,D24+,0:13:57,638,0:02:40,0:48:07,596,1:04:43,611,0:01:52,0:29:49,584,1:36:23,
588,3113,Jeroen de Ridder,3,H24+,0:12:20,507,0:03:29,0:46:11,542,1:02:00,562,0:04:08,0:30:18,598,1:36:24,
589,4096,Rianne van Leeuwen,4,D40+,0:12:10,486,0:01:55,0:53:26,668,1:07:29,653,0:02:27,0:26:35,456,1:36:30,
590,3111,Elisabethe Ramos,3,D40+,0:12:36,542,0:02:25,0:51:51,658,1:06:52,645,0:02:00,0:27:39,503,1:36:30,
591,2126,Jolanda Van Barneveld,2,D40+,0:12:58,571,0:01:31,0:49:00,614,1:03:29,595,0:01:30,0:31:50,635,1:36:48,
592,6081,Edwin van Enkhuijzen,6,H24+,0:12:35,540,0:01:20,0:53:06,666,1:07:00,649,0:01:33,0:28:26,533,1:36:58,
593,6042,Jessica Verstegen,6,D24+,0:13:29,603,0:02:00,0:49:10,622,1:04:39,610,0:01:55,0:30:31,604,1:37:04,
594,7040,Jeanine Pas,7,D24+,0:14:20,652,0:02:09,0:44:01,450,1:00:30,536,0:01:36,0:35:02,679,1:37:07,
595,5036,Diana van Ree,4,D40+,0:14:40,664,0:03:26,0:43:45,434,1:01:50,558,0:02:45,0:32:39,647,1:37:14,
596,5104,Paul Peters,4,H40+,0:15:08,678,0:03:26,0:43:53,442,1:02:26,579,0:03:45,0:31:06,618,1:37:15,
597,7026,Lianne den Haan,7,D24+,0:12:51,563,0:01:51,0:48:19,602,1:03:01,589,0:02:03,0:32:14,641,1:37:17,
598,2088,W.T. van Maanen,2,D24+,0:12:59,572,0:02:28,0:46:30,554,1:01:56,561,0:02:52,0:32:42,648,1:37:29,
599,3094,Veronique Kal,3,D40+,0:13:30,606,0:02:17,0:51:43,657,1:07:30,654,0:01:44,0:28:25,531,1:37:38,
600,5105,Ron van Ree,4,H40+,0:15:05,676,0:02:58,0:43:46,436,1:01:49,557,0:02:44,0:33:08,655,1:37:40,
601,2124,Roos van Tol,2,D24+,0:13:03,576,0:01:46,0:49:50,635,1:04:38,609,0:01:49,0:31:22,624,1:37:48,
602,5088,Martijn Heeren,4,H24+,0:12:59,573,0:02:59,0:49:38,632,1:05:35,628,0:02:51,0:29:26,570,1:37:51,
603,4092,Suzanne Kluijt,4,D24+,0:14:36,660,0:02:23,0:49:44,633,1:06:42,643,0:01:48,0:29:38,577,1:38:07,
604,5133,Charlotte van der Weijde,4,D24+,0:15:09,679,0:01:42,0:47:09,576,1:03:59,600,0:01:19,0:33:00,653,1:38:17,
605,4010,Karin Van Dijk-D'silva,4,D40+,0:14:33,658,0:02:49,0:47:00,573,1:04:21,606,0:02:19,0:31:51,636,1:38:30,
606,1133,Frederique Vermeij,1,D40+,0:14:23,656,0:02:09,0:46:33,558,1:03:04,590,0:01:00,0:34:30,673,1:38:33,
607,1128,Fabio Van Luijk,1,H40+,0:13:03,579,0:02:54,0:46:06,535,1:02:02,566,0:02:57,0:33:35,663,1:38:33,
608,7044,Leonie van der Stel,7,D24+,0:13:53,624,0:02:16,0:51:00,652,1:07:08,651,0:01:59,0:29:27,571,1:38:33,
609,7083,Jan van der Ham,7,H40+,0:13:54,627,0:01:50,0:52:50,663,1:08:34,664,0:01:26,0:28:38,539,1:38:36,
610,3032,Anoek van Gils,3,D40+,0:13:39,617,0:02:37,0:50:04,638,1:06:19,637,0:02:46,0:29:38,578,1:38:41,
611,1109,Marcel Vrijhof,1,H40+,0:12:54,568,0:01:44,0:53:44,672,1:08:21,661,0:01:37,0:29:00,554,1:38:58,
612,4023,Saskia Dijkstra,4,D24+,0:15:13,680,0:01:54,0:47:47,590,1:04:54,616,0:01:51,0:32:28,644,1:39:13,
613,6070,Charlotte Caesar,6,D24+,0:14:00,639,0:02:39,0:48:26,606,1:05:04,619,0:02:30,0:31:41,629,1:39:14,
614,4119,Hanneke de Ruijter,4,D40+,0:12:11,487,0:01:53,0:53:34,670,1:07:37,656,0:02:21,0:29:18,565,1:39:15,
615,5112,Jeanine Schra,4,D40+,0:14:00,642,0:02:43,0:49:16,626,1:05:58,635,0:02:41,0:30:39,608,1:39:18,
616,1079,Helena de Kruif,1,D24+,0:14:01,643,0:02:29,0:49:03,617,1:05:33,627,0:02:05,0:31:55,637,1:39:31,
617,3122,Mirjan Smitshoek,3,D24+,0:14:47,670,0:02:17,0:47:58,594,1:05:01,618,0:02:07,0:32:29,645,1:39:36,
618,3068,Johan Boekestijn,3,H40+,0:14:09,645,0:02:38,0:48:08,597,1:04:55,617,0:02:22,0:32:27,643,1:39:43,
619,2135,Ada Visser,2,D40+,0:12:40,548,0:02:12,0:53:40,671,1:08:31,662,0:02:16,0:29:02,556,1:39:48,
620,4043,Koen den Hartigh,4,H40+,0:15:01,675,0:03:06,0:47:45,588,1:05:52,633,0:03:24,0:30:41,609,1:39:55,
621,4086,Cor van Idsinga,4,H40+,0:13:54,628,0:02:42,0:50:22,642,1:06:58,647,0:02:16,0:30:43,611,1:39:56,
622,4085,Bob van Idsinga,4,H24+,0:13:55,630,0:02:42,0:50:26,644,1:07:03,650,0:02:16,0:30:38,607,1:39:56,
623,2121,Elske Thomassen,2,D24+,0:14:16,647,0:02:06,0:48:26,607,1:04:47,612,0:01:37,0:33:40,664,1:40:03,
624,4062,Elmer Bulthuis,4,H24+,0:11:16,375,0:02:14,0:51:59,659,1:05:28,626,0:02:24,0:32:13,640,1:40:05,
625,2078,Lilian Koopman,2,D24+,0:12:44,557,0:01:49,0:54:14,678,1:08:46,666,0:01:48,0:29:41,579,1:40:14,
626,7011,Daphne Woudenberg,7,D40+,0:14:00,641,0:03:24,0:49:06,619,1:06:29,639,0:02:39,0:31:14,619,1:40:20,
627,3084,Corinne Heijdra,3,D24+,0:14:10,646,0:02:31,0:51:15,653,1:07:55,658,0:02:21,0:30:10,593,1:40:25,
628,3023,Pepijn ten Hout,3,H24+,0:13:57,637,0:02:38,0:51:26,654,1:08:01,659,0:02:15,0:30:11,594,1:40:25,
629,3125,Carlo Steentjes,3,H24+,0:13:08,585,0:03:13,0:48:03,595,1:04:23,608,0:02:56,0:33:29,660,1:40:47,
630,4064,Richard Chan,4,H40+,0:12:20,503,0:04:35,0:49:33,631,1:06:26,638,0:02:30,0:31:55,638,1:40:50,
631,6043,Patrick Smolders,6,H40+,0:15:13,681,0:02:34,0:42:05,351,0:59:51,520,0:02:17,0:39:12,692,1:41:20,
632,6026,Jeanette Verbeek,6,D40+,0:14:22,653,0:02:56,0:48:52,610,1:06:10,636,0:02:39,0:32:38,646,1:41:26,
633,5019,Hans Stegeman,4,H40+,0:14:09,644,0:02:31,0:49:56,636,1:06:34,640,0:01:59,0:33:17,657,1:41:49,
634,3028,Jeroen de Bruijn,3,H24+,0:13:27,601,0:03:04,0:48:54,611,1:05:24,625,0:02:43,0:33:48,666,1:41:54,
635,2113,Eline Seijbel,2,D40+,0:13:38,616,0:02:16,0:50:54,651,1:06:47,644,0:01:43,0:33:33,661,1:42:01,
636,4060,Joke Bosma,4,D40+,0:14:42,667,0:02:28,0:48:10,598,1:05:19,624,0:02:38,0:34:07,672,1:42:04,
637,2065,Brigitte Hekkert,2,D40+,0:14:17,648,0:03:31,0:48:50,609,1:06:36,641,0:03:34,0:31:57,639,1:42:07,
638,5025,Arthur Bosch,4,H40+,0:15:01,674,0:02:53,0:47:56,593,1:05:49,632,0:03:04,0:33:18,658,1:42:10,
639,1051,Carola Dijkers,1,D40+,0:13:34,612,0:03:21,0:49:00,615,1:05:54,634,0:04:30,0:31:47,632,1:42:10,
640,1014,Barbara van Dam,1,D40+,0:13:34,611,0:03:24,0:50:30,645,1:07:27,652,0:02:57,0:31:47,633,1:42:11,
641,5004,Corien van Klaveren,4,D40+,0:14:38,662,0:03:22,0:50:53,650,1:08:53,668,0:03:30,0:30:00,588,1:42:22,
642,5005,Rob van Klaveren,4,H40+,0:14:38,661,0:03:31,0:50:42,648,1:08:50,667,0:03:30,0:30:04,589,1:42:22,
643,7110,Magdalena Hanczewska,7,D24+,0:13:55,629,0:01:39,0:54:04,675,1:09:37,672,0:01:29,0:31:17,621,1:42:22,
644,7057,Walter Schreefel,7,H40+,0:14:22,654,0:03:01,0:46:51,568,1:04:14,604,0:03:32,0:34:38,675,1:42:23,
645,4072,Senna van Dongen,4,D24+,0:12:42,554,0:02:57,0:50:01,637,1:05:40,629,0:02:40,0:34:05,671,1:42:23,
646,5031,Dennis   Watrin,4,H40+,0:13:56,632,0:03:20,0:44:32,473,1:01:47,556,0:03:20,0:37:23,690,1:42:29,
647,3097,Ingrid van der Kooij,3,D40+,0:15:29,685,0:02:18,0:47:01,574,1:04:47,613,0:02:32,0:35:11,680,1:42:29,
648,2015,Pauline Hogenbirk-Hupkes,2,D40+,0:15:44,687,0:02:26,0:45:45,524,1:03:54,598,0:02:04,0:37:12,689,1:43:09,
649,5121,Robert Van DeMerwe,4,H24+,0:14:46,669,0:02:05,0:52:54,664,1:09:44,673,0:02:07,0:31:38,628,1:43:27,
650,7111,Jacqueline (Jackie) Asare,7,D24+,0:11:37,416,0:01:59,0:54:14,677,1:07:49,657,0:02:00,0:33:44,665,1:43:32,
651,5120,Natalie Tito,4,D24+,0:16:56,695,0:02:00,0:46:15,545,1:05:10,621,0:01:51,0:36:36,685,1:43:36,
652,2111,Heleen Roozeboom,2,D40+,0:13:01,575,0:02:00,0:59:16,691,1:14:16,687,0:01:47,0:28:05,519,1:44:06,
653,5114,Natascha Schuiling,4,D24+,0:14:33,657,0:02:52,0:49:18,627,1:06:41,642,0:02:41,0:34:51,677,1:44:12,
654,5013,Yvon   Watrin,4,D40+,0:13:55,631,0:02:37,0:54:00,674,1:10:31,676,0:02:45,0:31:27,625,1:44:42,
655,1110,Esther van der Sluys,1,D24+,0:16:08,691,0:02:22,0:47:18,578,1:05:47,630,0:02:24,0:36:37,686,1:44:47,
656,6054,Andries van Akelijen,6,H24+,0:11:59,463,0:03:16,0:54:10,676,1:09:23,670,0:02:32,0:32:53,651,1:44:48,
657,3118,Jordy Schoester,3,H24+,0:14:19,651,0:02:25,0:53:06,665,1:09:49,674,0:02:02,0:33:08,656,1:44:58,
658,4046,Sanny Schoon,4,D40+,0:12:39,545,0:01:49,0:58:58,690,1:13:25,684,0:02:46,0:28:49,548,1:45:00,
659,6011,Marja Ellen Verhoef,6,D40+,0:12:23,515,0:02:00,0:57:28,686,1:11:51,678,0:02:00,0:31:19,622,1:45:09,
660,6069,Ingeborg de Bruyn,6,D40+,0:12:38,544,0:01:45,0:57:29,687,1:11:51,679,0:02:00,0:31:19,623,1:45:09,
661,4082,Denise Helderop,4,D24+,0:14:41,665,0:01:44,0:52:07,660,1:08:31,663,0:02:06,0:34:58,678,1:45:34,
662,2056,Jacopo Fazzi,2,H40+,0:15:47,688,0:03:09,0:50:39,646,1:09:34,671,0:04:29,0:31:48,634,1:45:49,
663,21,Vincent Hekkert,3,H40+,0:14:41,666,0:01:59,0:53:16,667,1:09:55,675,0:01:45,0:34:35,674,1:46:15,
664,2063,Marja Haverkamp-Holleman,2,D40+,0:13:50,623,0:02:38,0:57:19,685,1:13:46,686,0:02:28,0:30:13,596,1:46:27,
665,3048,Remco Plooij,3,H24+,0:15:08,677,0:02:52,0:49:00,613,1:06:58,648,0:03:02,0:36:44,687,1:46:44,
666,5113,Mathilde Schram,4,D40+,0:15:28,684,0:03:01,0:50:14,639,1:08:41,665,0:02:31,0:35:34,682,1:46:45,
667,5079,Irma De Kluijveer,4,D24+,0:16:26,694,0:02:42,0:49:11,623,1:08:17,660,0:02:33,0:36:23,684,1:47:12,
668,3131,Cindy Van DerJagt,3,D24+,0:13:45,619,0:02:10,0:55:05,681,1:10:59,677,0:03:06,0:33:08,654,1:47:12,
669,7114,Mee-Di Chau,7,D24+,0:15:01,673,0:02:00,0:56:11,682,1:13:11,683,0:01:54,0:32:44,649,1:47:48,
670,3007,Thomas Hommel,3,H24+,0:14:46,668,0:02:23,0:50:25,643,1:07:33,655,0:01:48,0:38:47,691,1:48:07,
671,7034,Gerlinde van der Male,7,D40+,0:14:58,672,0:03:11,0:53:59,673,1:12:07,681,0:02:44,0:34:04,670,1:48:53,
672,3092,Jolanda van Ingen Schenau-VanAst,3,D40+,0:16:20,693,0:02:00,0:58:52,689,1:17:11,691,0:02:36,0:29:08,558,1:48:54,
673,1015,Nicolette van der Palm,1,D40+,0:14:23,655,0:02:34,0:58:26,688,1:15:21,688,0:01:46,0:33:55,668,1:51:01,
674,3079,Diana van Eijk,3,D40+,0:15:53,689,0:02:32,0:53:27,669,1:11:51,680,0:02:58,0:37:06,688,1:51:55,
675,3049,Annelies Evegroen-Kraan,3,D40+,0:15:36,686,0:04:12,0:52:40,662,1:12:28,682,0:04:29,0:35:15,681,1:52:10,
676,3100,Claudia Lander,3,D40+,0:14:34,659,0:02:00,1:02:22,692,1:18:55,692,0:02:08,0:33:26,659,1:54:28,
677,2098,Atie Nunnink,2,D40+,0:15:15,682,0:03:50,0:57:00,684,1:16:04,689,0:03:13,0:35:49,683,1:55:05,
678,2112,Ilse Scholten,2,D24+,0:12:43,556,0:03:18,1:05:05,694,1:21:05,695,0:01:46,0:32:44,650,1:55:34,
679,4129,Enrico Van DerSteen,4,H24+,0:12:30,530,0:02:41,1:05:16,695,1:20:26,693,0:02:22,0:34:49,676,1:57:37,
680,7074,Marjolijn   Venant,7,D24+,0:16:03,690,0:02:23,0:55:00,680,1:13:26,685,0:02:03,0:43:56,695,1:59:24,
681,4127,Annemieke Sweep,4,D24+,0:14:40,663,0:02:20,1:03:30,693,1:20:28,694,0:02:12,0:39:25,693,2:02:04,
682,6078,Anouk Dullaard,6,D16+,0:15:25,683,0:02:36,1:06:00,696,1:24:00,696,0:02:15,0:39:33,694,2:05:47,
683,2101,Julie Oostrom,2,D16+,0:17:09,696,0:02:37,0:56:46,683,1:16:31,690,0:02:07,0:48:14,696,2:06:51,
684,3134,Jolanda van Vessem,3,D40+,0:17:34,698,0:05:07,1:12:13,697,1:34:52,697,0:04:18,0:51:20,697,2:30:29,
685,20,Wim Middelveld,3,H40+,0:17:33,697,0:05:05,1:12:18,698,1:34:54,698,0:04:08,0:51:29,698,2:30:30,
686,25,Louisette den Boer,2,D40+,4:16:31,707,0:01:56,0:43:12,705,5:01:37,707,0:01:28,0:25:58,707,5:29:02,
687,24,Nynke Venema,2,D24+,4:16:52,708,0:02:29,0:44:55,706,5:04:15,708,0:02:04,0:26:13,708,5:32:31,
688,1027,Kees Akershoek,1,H40+,0:10:09,,0:01:21,0:36:36,,0:48:05,,0:01:26,,,0:49:31,DNF
689,5080,Alexander Dekker,4,H24+,0:10:20,,0:01:40,0:40:14,,0:52:14,,0:01:32,,,0:53:45,DNF
690,3004,Patrick de Kreek,3,H40+,0:10:10,,0:01:42,0:41:42,,0:53:34,,0:01:37,,,0:55:11,DNF
691,6064,Sabine Biesheuvel,6,D24+,0:12:35,,0:03:58,0:46:40,,1:03:12,,0:03:01,,,1:06:12,DNF
692,6012,Emilie de Boer,6,D24+,0:12:14,,0:01:59,0:33:59,,0:48:11,,,,,0:48:11,DNF
693,1021,Andre Ouwerkerk,1,H40+,0:10:04,,0:02:10,0:36:36,,0:48:49,,,,,0:48:49,DNF
694,3005,Dorien Vroom,3,D40+,0:13:32,,0:02:10,0:46:01,,1:01:42,,,,,1:01:42,DNF
695,4069,Annelieke Dijkstra,4,D40+,0:14:39,,0:03:05,0:50:54,,1:08:37,,,,,1:08:37,DNF
696,2119,Sandra Tegtmeier-Last,2,D40+,0:15:03,,0:02:10,0:52:35,,1:09:47,,,,,1:09:47,DNF
697,4111,Marijn Pool,4,D24+,0:11:37,,0:01:44,1:08:44,,1:22:04,,,,,1:22:04,DNF
698,4033,Chi Keung Tang,4,H24+,0:10:17,,0:01:31,,,,,,,,0:11:47,DNF
699,1094,Ronald Noorlander,1,H24+,0:11:01,,0:02:17,,,,,,,,0:13:17,DNF
700,6067,Annaliese Bommel Van,6,D40+,0:14:34,,0:02:19,,,,,,,,0:16:52,DNF